ayah_id,surah_number,ayah_number,ayah_key,safe_to_persist,annotation_count,issue_count,low_confidence_count,emitted_rule_codes,exception
71,2,65,2:65,True,15,2,0,alif_lam_syamsiah|ikhfa_haqiqi|izhar_halqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra,
72,2,66,2:66,True,10,3,0,idgham_bilaghunnah|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah,
73,2,67,2:67,False,16,5,0,ghunnah|ikhfa_haqiqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|tafkhim_lam_jalalah|tafkhim_ra,
74,2,68,2:68,False,14,1,1,idgham_bilaghunnah|iqlab|izhar_halqi|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra|tafkhim_ra,TajwidAnnotationError: Render segment index 12 dimulai dengan combining mark.
75,2,69,2:69,False,13,13,0,idgham_bilaghunnah|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra,
76,2,70,2:70,True,20,3,0,alif_lam_qamariah|ghunnah|idgham_bilaghunnah|ikhfa_haqiqi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|mad_silah_qasirah|qalqalah_sugra|tafkhim_lam_jalalah|tafkhim_ra,
77,2,71,2:71,False,25,3,0,alif_lam_qamariah|ghunnah|idgham_bighunnah|idgham_bilaghunnah|idgham_mutamatsilain|ikhfa_haqiqi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tafkhim_ra,
78,2,72,2:72,False,8,1,1,ikhfa_haqiqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|tafkhim_ra,TajwidAnnotationError: Render segment index 14 dimulai dengan combining mark.
79,2,73,2:73,True,13,2,0,alif_lam_qamariah|idgham_bilaghunnah|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tarqiq_lam_jalalah|tarqiq_ra,
80,2,74,2:74,False,17,25,1,alif_lam_qamariah|ghunnah|idgham_mimi|idgham_mutamatsilain|izhar_halqi|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|mad_silah_qasirah|tafkhim_ra,
81,2,75,2:75,True,25,2,0,ghunnah|idgham_bighunnah|izhar_halqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|qalqalah_sugra|tafkhim_lam_jalalah|tafkhim_ra|tarqiq_ra,
